id,(Intercept),GroupP,GroupT2DM,GroupT2DM_P
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__,0.6195438685760382,0.8229930330170829,0.6874427742873963,0.7367131497708419
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058,0.20929516724445232,0.4502659028703026,0.37856349549971735,0.495645470046021
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catonella,0.2416824082240496,0.5956158116620405,0.30701378516307226,0.3855434665907695
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_nodatum_group,0.46526496968606995,0.5958263901347229,0.5193703759111052,0.5440780282906881
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus,0.3329018285207123,0.784543399031215,0.5767069184175393,0.6323968864631194
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonellaceae,0.42525591022669834,0.6266999398973737,0.53548450635912,0.5234178257719415
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema,0.3079903086747944,0.3955386207590866,0.45779127537396747,0.40049555424304517
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia,0.6810162627639937,1.025736234876589,0.8174675101458909,0.8116893731262742
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia,0.3719340565845516,0.4652212718585337,0.41091557848318466,0.4416459216142603
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacteriales_(SR1);f__Absconditabacteriales_(SR1);g__Absconditabacteriales_(SR1),0.44184564583406605,0.7667504379071759,0.6021756908223871,0.6030807576255783
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;__,0.5511570320628723,0.8379826694491399,0.694272838429762,0.6502417372878698
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Gracilibacteria;f__Gracilibacteria;g__Gracilibacteria,0.49210152219567227,0.7170981937802713,0.7110728178848357,0.6469385200782863
d__Bacteria;__;__;__;__;__,0.37553181174254835,0.591004507175932,0.4756060946250666,0.49191203387854765
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Howardella,0.2632439667294932,0.508452815160188,0.3136386677540099,0.3721341533295956
