run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	library_source	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
SRR32802224	PRJNA1240053	SAMN47499641	SRX28086100	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/024/SRR32802224/SRR32802224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/024/SRR32802224/SRR32802224_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/024/SRR32802224/SRR32802224.lite	Type 2 diabetes mellitus 10	
SRR32802225	PRJNA1240053	SAMN47499640	SRX28086099	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/025/SRR32802225/SRR32802225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/025/SRR32802225/SRR32802225_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/025/SRR32802225/SRR32802225.lite	Type 2 diabetes mellitus 9	
SRR32802227	PRJNA1240053	SAMN47499638	SRX28086097	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/027/SRR32802227/SRR32802227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/027/SRR32802227/SRR32802227_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/027/SRR32802227/SRR32802227.lite	Type 2 diabetes mellitus 7	
SRR32802231	PRJNA1240053	SAMN47499634	SRX28086093	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/031/SRR32802231/SRR32802231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/031/SRR32802231/SRR32802231_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/031/SRR32802231/SRR32802231.lite	Type 2 diabetes mellitus 3	
SRR32802234	PRJNA1240053	SAMN47499614	SRX28086090	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/034/SRR32802234/SRR32802234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/034/SRR32802234/SRR32802234_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/034/SRR32802234/SRR32802234.lite	Healthy 3	
SRR32802235	PRJNA1240053	SAMN47499631	SRX28086089	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/035/SRR32802235/SRR32802235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/035/SRR32802235/SRR32802235_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/035/SRR32802235/SRR32802235.lite	Periodontitis 10	
SRR32802237	PRJNA1240053	SAMN47499629	SRX28086087	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/037/SRR32802237/SRR32802237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/037/SRR32802237/SRR32802237_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/037/SRR32802237/SRR32802237.lite	Periodontitis 8	
SRR32802246	PRJNA1240053	SAMN47499612	SRX28086078	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/046/SRR32802246/SRR32802246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/046/SRR32802246/SRR32802246_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/046/SRR32802246/SRR32802246.lite	Healthy 1	
SRR32802188	PRJNA1240053	SAMN47499620	SRX28086136	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/088/SRR32802188/SRR32802188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/088/SRR32802188/SRR32802188_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/088/SRR32802188/SRR32802188.lite	Healthy 9	
SRR32802201	PRJNA1240053	SAMN47499617	SRX28086123	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/001/SRR32802201/SRR32802201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/001/SRR32802201/SRR32802201_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/001/SRR32802201/SRR32802201.lite	Healthy 6	
