# Constructed from biom file
#OTU ID	SRR32802211	SRR32802215	SRR32802231	SRR32802240	SRR32802204	SRR32802246	SRR32802236	SRR32802210	SRR32802221	SRR32802189	SRR32802191	SRR32802200	SRR32802196	SRR32802219	SRR32802213	SRR32802209	SRR32802198	SRR32802190	SRR32802193	SRR32802199	SRR32802222	SRR32802205	SRR32802208	SRR32802225	SRR32802201	SRR32802227	SRR32802228	SRR32802194	SRR32802237	SRR32802224	SRR32802207	SRR32802239	SRR32802192	SRR32802197	SRR32802188	SRR32802216	SRR32802223	SRR32802212	SRR32802202	SRR32802206	SRR32802232	SRR32802244	SRR32802226	SRR32802203	SRR32802195	SRR32802229	SRR32802245	SRR32802218	SRR32802187	SRR32802220	SRR32802230	SRR32802242	SRR32802238	SRR32802217	SRR32802233	SRR32802243	SRR32802241	SRR32802235	SRR32802234	SRR32802214
24038dda7bce8d9bfae16d0936678a90	459.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	8.0	29.0	0.0	0.0	0.0	2.0	0.0	28.0	4.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	49.0	36.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	22.0	0.0	0.0	0.0	90.0
5f341115fb5757dc8f0e04e2d116ce59	441.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2c0c047fd3776718a50c0d3ec2999da0	440.0	341.0	0.0	0.0	848.0	0.0	2319.0	161.0	891.0	0.0	0.0	589.0	0.0	239.0	0.0	2615.0	76.0	186.0	0.0	212.0	105.0	526.0	69.0	0.0	85.0	384.0	243.0	0.0	46.0	1266.0	887.0	0.0	0.0	9203.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	569.0	1545.0	60.0	120.0	0.0	520.0	4482.0	0.0	0.0	0.0	145.0	0.0	236.0	0.0	21.0	0.0
3d6a501450694cb6c4272826f8b3f3bd	438.0	0.0	0.0	139.0	0.0	1420.0	0.0	592.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2242b00b83b57a6b23fe8b250790f5f7	438.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50dbe8e5d1567443d0ec8e42db945942	432.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	2.0	0.0	121.0	13.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	111.0	62.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	3.0	0.0	0.0	24.0	0.0	0.0
6081e665af4ed9b1207d237e3c1c297c	426.0	5.0	335.0	212.0	45.0	0.0	320.0	51.0	267.0	44.0	112.0	79.0	124.0	433.0	0.0	126.0	844.0	25.0	49.0	0.0	176.0	45.0	211.0	0.0	38.0	0.0	675.0	13.0	22.0	23.0	81.0	36.0	0.0	8.0	7.0	38.0	169.0	70.0	275.0	0.0	864.0	96.0	295.0	21.0	143.0	82.0	261.0	0.0	40.0	201.0	38.0	0.0	11.0	422.0	139.0	171.0	94.0	0.0	0.0	5.0
1de6c7c6956aca3e42f84cd93ac522d8	383.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	333.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
880f6e91dca6057fedaacd57ed3c951e	359.0	2827.0	0.0	101.0	10.0	0.0	49.0	191.0	1656.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	325.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	188.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	232.0	0.0	0.0	229.0	295.0	0.0	0.0	2814.0	0.0	0.0	4356.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1e2babcd192a28ce82964edfbd9f74d6	354.0	425.0	5910.0	2374.0	1180.0	321.0	482.0	443.0	3241.0	6804.0	3893.0	4448.0	1007.0	3874.0	397.0	240.0	1338.0	957.0	184.0	385.0	973.0	398.0	661.0	0.0	1686.0	912.0	1032.0	556.0	3996.0	9642.0	1770.0	3817.0	523.0	0.0	205.0	673.0	638.0	2795.0	357.0	0.0	28.0	43.0	754.0	23.0	1505.0	0.0	2308.0	107.0	41.0	1538.0	0.0	2411.0	1455.0	2128.0	0.0	135.0	1120.0	2656.0	1688.0	234.0
6818b630cb77a03f67efa0481c7e00cb	339.0	531.0	1264.0	1540.0	1310.0	0.0	134.0	529.0	504.0	420.0	325.0	464.0	621.0	166.0	493.0	1056.0	383.0	108.0	157.0	248.0	542.0	335.0	380.0	159.0	90.0	164.0	513.0	83.0	688.0	1150.0	556.0	549.0	333.0	1603.0	263.0	853.0	144.0	127.0	421.0	506.0	631.0	35.0	492.0	181.0	528.0	1342.0	631.0	148.0	94.0	356.0	2875.0	1018.0	212.0	264.0	2768.0	87.0	1264.0	269.0	139.0	172.0
264829ee82af152924079ad7238ca501	324.0	24.0	0.0	0.0	0.0	0.0	1488.0	0.0	263.0	0.0	16.0	344.0	2254.0	22.0	0.0	70.0	0.0	226.0	0.0	0.0	0.0	0.0	68.0	0.0	49.0	50.0	0.0	20.0	0.0	0.0	208.0	88.0	474.0	0.0	20.0	0.0	39.0	354.0	503.0	1.0	280.0	0.0	1.0	208.0	101.0	47.0	0.0	56.0	0.0	0.0	0.0	71.0	107.0	57.0	0.0	0.0	33.0	0.0	0.0	450.0
e1c80e24e9127cdfb9190af6de19ee0c	323.0	66.0	0.0	178.0	0.0	0.0	557.0	0.0	1455.0	0.0	388.0	122.0	39.0	0.0	64.0	0.0	1391.0	237.0	210.0	22.0	33.0	152.0	136.0	0.0	6.0	0.0	55.0	53.0	0.0	0.0	0.0	415.0	654.0	0.0	783.0	644.0	445.0	784.0	0.0	0.0	0.0	0.0	28.0	301.0	975.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0
85beec33a58dae445dd6c99150df35af	312.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	13.0	32.0	0.0	157.0	0.0	0.0	50.0	0.0	88.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	282.0	0.0	0.0	20.0	463.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	168.0	0.0	463.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
367800af46be76e956df57a0859d04ea	303.0	0.0	0.0	0.0	70.0	0.0	51.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.0	0.0	0.0	3.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	221.0	0.0	0.0	0.0	440.0	0.0	0.0	0.0	0.0	0.0
678b0728f5264ae3612e260a5fc61ac7	279.0	520.0	3.0	2.0	9.0	7.0	144.0	64.0	0.0	0.0	31.0	0.0	841.0	326.0	239.0	252.0	393.0	357.0	312.0	33.0	75.0	41.0	100.0	0.0	72.0	51.0	49.0	0.0	8.0	0.0	3.0	452.0	15.0	0.0	0.0	5.0	748.0	847.0	3.0	0.0	11.0	48.0	20.0	12.0	0.0	61.0	4.0	168.0	7.0	81.0	11.0	11.0	95.0	54.0	10.0	35.0	4.0	12.0	54.0	742.0
1c31877809f578a100229173e13573bf	272.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	158.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	17.0	0.0	188.0	0.0	36.0	0.0	0.0	0.0	4.0	11.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	35.0	345.0	0.0	0.0	27.0	0.0	0.0	2.0	25.0	78.0	0.0	0.0	0.0
2f5a78262b2b204b9e32e71c06204283	271.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c95f7c3f633410d5ba5ed4e370778221	260.0	43.0	1273.0	172.0	602.0	0.0	20.0	19.0	7.0	3.0	13.0	104.0	5.0	277.0	9.0	43.0	15.0	6.0	0.0	0.0	0.0	31.0	0.0	0.0	46.0	15.0	86.0	20.0	836.0	1929.0	8.0	11.0	2.0	744.0	19.0	31.0	8.0	41.0	78.0	52.0	0.0	0.0	16.0	14.0	511.0	32.0	34.0	2.0	0.0	17.0	1051.0	329.0	0.0	0.0	576.0	1.0	117.0	151.0	50.0	2.0
4fc122830c0964e314dbc2cbeaa67131	249.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
