Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR32802200_2	(30, 7.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 1.0)	(100, 0.0)	(110, 0.0)	(120, 1.0)	(130, 3.0)	(140, 4.0)	(150, 1.0)	(160, 16.0)	(170, 1.0)	(180, 13.0)	(190, 0.0)	(200, 4.0)	(210, 3.0)	(220, 4.0)	(230, 7.0)	(240, 0.0)	(250, 0.0)	(260, 1.0)	(270, 1.0)	(280, 0.0)	(290, 2262.0)	(300, 180358.0)
SRR32802201_1	(301, 95681.0)																											
SRR32802201_2	(301, 95681.0)																											
SRR32802202_1	(301, 97863.0)																											
SRR32802202_2	(301, 97863.0)																											
SRR32802203_1	(301, 110792.0)																											
SRR32802203_2	(301, 110792.0)																											
SRR32802204_1	(301, 153205.0)																											
SRR32802204_2	(301, 153205.0)																											
SRR32802205_1	(301, 118983.0)																											
SRR32802205_2	(301, 118983.0)																											
SRR32802206_1	(301, 117871.0)																											
SRR32802206_2	(301, 117871.0)																											
SRR32802207_1	(301, 131508.0)																											
SRR32802207_2	(301, 131508.0)																											
SRR32802208_1	(301, 214223.0)																											
SRR32802208_2	(301, 214223.0)																											
SRR32802209_1	(301, 214968.0)																											
SRR32802209_2	(301, 214968.0)																											
SRR32802210_1	(301, 199865.0)																											
SRR32802210_2	(301, 199865.0)																											
SRR32802211_1	(301, 161390.0)																											
SRR32802211_2	(301, 161390.0)																											
SRR32802212_1	(301, 165908.0)																											
SRR32802212_2	(301, 165908.0)																											
SRR32802213_1	(30, 6.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 1.0)	(130, 0.0)	(140, 2.0)	(150, 0.0)	(160, 4.0)	(170, 0.0)	(180, 1.0)	(190, 2.0)	(200, 2.0)	(210, 2.0)	(220, 5.0)	(230, 0.0)	(240, 2.0)	(250, 2.0)	(260, 1.0)	(270, 1.0)	(280, 8.0)	(290, 15012.0)	(300, 171642.0)
SRR32802213_2	(30, 5.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 1.0)	(120, 1.0)	(130, 0.0)	(140, 2.0)	(150, 0.0)	(160, 4.0)	(170, 0.0)	(180, 1.0)	(190, 2.0)	(200, 2.0)	(210, 2.0)	(220, 2.0)	(230, 1.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 0.0)	(280, 4.0)	(290, 3099.0)	(300, 183567.0)
SRR32802214_1	(30, 6.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 2.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 4.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 0.0)	(220, 1.0)	(230, 0.0)	(240, 2.0)	(250, 8.0)	(260, 1.0)	(270, 2.0)	(280, 3.0)	(290, 12891.0)	(300, 136559.0)
SRR32802214_2	(30, 6.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 2.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 3.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 1.0)	(220, 0.0)	(230, 0.0)	(240, 0.0)	(250, 3.0)	(260, 1.0)	(270, 0.0)	(280, 1.0)	(290, 2261.0)	(300, 147201.0)
