Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR32802192_1	SRR32802192_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	202898.0	61 Mbp	0.0	35-301	54.0	7.995643131031356	300.6910935543968	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR32802192_2	SRR32802192_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	202898.0	60.8 Mbp	0.0	35-301	54.0	15.141105383000324	300.8033001803862	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR32802193_1	SRR32802193_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	182155.0	54.7 Mbp	0.0	35-301	53.0	9.679119431253602	300.42481677692075	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR32802193_2	SRR32802193_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	182155.0	54.6 Mbp	0.0	35-301	53.0	23.28072246163981	300.8147923471769	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR32802194_1	SRR32802194_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	206200.0	61.9 Mbp	0.0	35-301	53.0	9.864694471387004	300.39812075654703	301	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR32802194_2	SRR32802194_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	206200.0	61.8 Mbp	0.0	35-301	53.0	17.356935014548984	300.80080019398645	301	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR32802195_1	SRR32802195_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	224554.0	67.5 Mbp	0.0	35-301	54.0	7.632462570250363	300.8407420932159	301	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR32802195_2	SRR32802195_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	224554.0	67.3 Mbp	0.0	35-301	53.0	14.36491890592018	300.83386624152763	301	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR32802196_1	SRR32802196_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	175720.0	52.8 Mbp	0.0	35-301	53.0	10.382426587753244	300.379956749374	301	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR32802196_2	SRR32802196_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	175720.0	52.7 Mbp	0.0	35-301	53.0	17.16708399726838	300.81353289323926	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR32802197_1	SRR32802197_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	148498.0	44.6 Mbp	0.0	35-301	53.0	7.714582014572587	300.79546189174266	301	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR32802197_2	SRR32802197_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	148498.0	44.5 Mbp	0.0	35-301	53.0	14.80491319748414	300.84989696830934	301	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR32802198_1	SRR32802198_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	200614.0	60.3 Mbp	0.0	35-301	53.0	9.33583897434875	300.5378488041712	301	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR32802198_2	SRR32802198_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	200614.0	60.1 Mbp	0.0	35-301	53.0	18.53659266053217	300.79268645259054	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR32802199_1	SRR32802199_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	178096.0	53.5 Mbp	0.0	35-301	53.0	9.73744497349744	300.3651233042853	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR32802199_2	SRR32802199_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	178096.0	53.4 Mbp	0.0	35-301	53.0	18.85499955080406	300.81330013026684	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR32802200_1	SRR32802200_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	182687.0	54.9 Mbp	0.0	35-301	53.0	9.974984536392848	300.5249716728612	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR32802200_2	SRR32802200_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	182687.0	54.8 Mbp	0.0	35-301	53.0	19.010110188464424	300.87120867932583	301	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR32802201_1	SRR32802201_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95681.0	28.7 Mbp	0.0	301.0	53.0	10.959333619004818	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802201_2	SRR32802201_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95681.0	28.7 Mbp	0.0	301.0	53.0	18.529279585288617	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802202_1	SRR32802202_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97863.0	29.4 Mbp	0.0	301.0	55.0	10.473825654230914	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
