Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR32802241_1	(1.0, 6.380878581575986)	(2.0, 2.3643475212634453)	(3.0, 1.4999723252338517)	(4.0, 1.127285474437741)	(5.0, 0.7979557572738512)	(6.0, 0.6974041069352964)	(7.0, 0.6425158207413147)	(8.0, 0.5313555100459402)	(9.0, 0.4068190623789229)	('>10', 6.908082876699692)	('>50', 4.121233925573329)	('>100', 15.440213280197781)	('>500', 11.438442095164296)	('>1k', 29.732846257449125)	('>5k', 17.91064740502943)	('>10k+', 0.0)
SRR32802241_2	(1.0, 11.684747513883508)	(2.0, 2.659545026844523)	(3.0, 1.5663917639895941)	(4.0, 1.0018265345657829)	(5.0, 0.661888157045073)	(6.0, 0.5507278463496984)	(7.0, 0.32932971716389)	(8.0, 0.3284072249589491)	(9.0, 0.22416560580063097)	('>10', 4.833859153890149)	('>50', 3.203354181657165)	('>100', 21.914263574472795)	('>500', 20.075275363923176)	('>1k', 30.966218335455064)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802242_1	(1.0, 6.563893034285245)	(2.0, 2.491101484132389)	(3.0, 1.5401556093249684)	(4.0, 1.0895550500586795)	(5.0, 0.8403483098856835)	(6.0, 0.7360292093481504)	(7.0, 0.598385951694461)	(8.0, 0.4597767764432016)	(9.0, 0.4303162897173242)	('>10', 7.579072429331053)	('>50', 3.7453454845767107)	('>100', 16.940745784977086)	('>500', 13.1306838213632)	('>1k', 34.63490729605858)	('>5k', 9.219683468803277)	('>10k+', 0.0)
SRR32802242_2	(1.0, 13.073211724307798)	(2.0, 2.831104478476941)	(3.0, 1.6111505527463452)	(4.0, 1.0663730277170054)	(5.0, 0.7365121681469353)	(6.0, 0.536084266651212)	(7.0, 0.392162544613319)	(8.0, 0.41727640215013256)	(9.0, 0.22602471783132183)	('>10', 4.965782369106091)	('>50', 2.992895676069874)	('>100', 27.177057525222526)	('>500', 17.37637462148104)	('>1k', 26.59798992547946)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802243_1	(1.0, 5.586809233111039)	(2.0, 2.336485903911352)	(3.0, 1.355587607576814)	(4.0, 0.8622111991654647)	(5.0, 0.755765372108)	(6.0, 0.7121225830144393)	(7.0, 0.6109990473098478)	(8.0, 0.45558813980594925)	(9.0, 0.5269068439344506)	('>10', 7.040859230716008)	('>50', 3.5595484568016222)	('>100', 14.609157534501755)	('>500', 10.3119394961919)	('>1k', 36.03936366684585)	('>5k', 9.735535342675728)	('>10k+', 5.50112034232978)
SRR32802243_2	(1.0, 12.009750437758465)	(2.0, 2.9826120741501634)	(3.0, 1.7132455864898957)	(4.0, 1.1325835998914253)	(5.0, 0.803665994283859)	(6.0, 0.5939677149806535)	(7.0, 0.4209932460122732)	(8.0, 0.4087519759006648)	(9.0, 0.30656398192549855)	('>10', 5.029565328465211)	('>50', 2.2396202012890587)	('>100', 20.71329348711207)	('>500', 26.33895544709908)	('>1k', 25.306430924641678)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802244_1	(1.0, 5.9429409183815425)	(2.0, 2.3596263122411636)	(3.0, 1.417380975312209)	(4.0, 1.038021552323777)	(5.0, 0.9069312016437125)	(6.0, 0.6131818035892003)	(7.0, 0.5842884201740024)	(8.0, 0.5093796483568226)	(9.0, 0.5008186458634306)	('>10', 7.242073046753775)	('>50', 3.7898487912934606)	('>100', 15.449399124637495)	('>500', 14.831401757145763)	('>1k', 34.83150876967693)	('>5k', 9.983199032606718)	('>10k+', 0.0)
SRR32802244_2	(1.0, 11.561633867325865)	(2.0, 2.790886812845784)	(3.0, 1.5891360878358856)	(4.0, 0.9780945348700334)	(5.0, 0.6501011268419532)	(6.0, 0.5425535330187164)	(7.0, 0.4232345607670658)	(8.0, 0.2953545860220232)	(9.0, 0.3226427814697101)	('>10', 5.05206159641294)	('>50', 3.5383693430500713)	('>100', 24.781961967746426)	('>500', 24.97137414791272)	('>1k', 22.502595053880807)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802245_1	(1.0, 5.208092801034481)	(2.0, 2.3208655384214922)	(3.0, 1.322490312233665)	(4.0, 1.0160084303509427)	(5.0, 0.8144860970581937)	(6.0, 0.6599856415337528)	(7.0, 0.5730791353012549)	(8.0, 0.5743386498843346)	(9.0, 0.4836535999025975)	('>10', 7.678000898453736)	('>50', 3.39607115417718)	('>100', 14.89292026852851)	('>500', 10.313745082645148)	('>1k', 35.34197920121585)	('>5k', 15.40428318925886)	('>10k+', 0.0)
SRR32802245_2	(1.0, 9.846045334128227)	(2.0, 2.693681855013078)	(3.0, 1.4988223538648204)	(4.0, 0.9824213748021513)	(5.0, 0.6843362568066267)	(6.0, 0.5592244748873784)	(7.0, 0.41438029783321506)	(8.0, 0.37617502214646475)	(9.0, 0.2720551499452111)	('>10', 3.938502101290163)	('>50', 2.762115480693741)	('>100', 24.264128604835697)	('>500', 20.26223093619719)	('>1k', 31.44588075755604)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802246_1	(1.0, 4.478287156634351)	(2.0, 1.9025955631471465)	(3.0, 1.2417607042140377)	(4.0, 0.850671616233791)	(5.0, 0.6194005555579044)	(6.0, 0.6113673742912831)	(7.0, 0.4912924543059966)	(8.0, 0.4464757588185304)	(9.0, 0.4604281262816095)	('>10', 7.316536937835862)	('>50', 3.559967698155328)	('>100', 9.355273783501538)	('>500', 8.414123178264749)	('>1k', 30.77300343735598)	('>5k', 13.445431445253869)	('>10k+', 16.03338421014802)
SRR32802246_2	(1.0, 8.574786803597174)	(2.0, 2.2129300394471483)	(3.0, 1.3191329237820217)	(4.0, 0.9301578308719385)	(5.0, 0.7187583238555888)	(6.0, 0.5251163754286126)	(7.0, 0.3699491372786119)	(8.0, 0.44309336670626887)	(9.0, 0.36149315699795787)	('>10', 4.768327280260783)	('>50', 1.826068941607228)	('>100', 11.755503786165171)	('>500', 10.980935992457265)	('>1k', 55.21374604154423)	('>5k', 0.0)	('>10k+', 0.0)
