Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR32802198_1	(1.0, 6.500044862272822)	(2.0, 2.3856759747574943)	(3.0, 1.4804550031403592)	(4.0, 1.0029210324304385)	(5.0, 0.7776127289222088)	(6.0, 0.5772279103153319)	(7.0, 0.5966682285383871)	(8.0, 0.49448194044284044)	(9.0, 0.358898182579481)	('>10', 6.238846740506645)	('>50', 3.383612310207663)	('>100', 14.9520970620196)	('>500', 10.756477613725862)	('>1k', 34.157636057304074)	('>5k', 11.203106463158106)	('>10k+', 5.134237889678686)
SRR32802198_2	(1.0, 14.986491471183466)	(2.0, 3.253013249324573)	(3.0, 1.830380731155353)	(4.0, 1.2501620026518587)	(5.0, 0.9794929566231668)	(6.0, 0.8254658199328062)	(7.0, 0.5827110769936296)	(8.0, 0.4705553949375417)	(9.0, 0.40376045540191613)	('>10', 5.403411526613297)	('>50', 4.127827569362059)	('>100', 21.849920743318012)	('>500', 20.82805786236255)	('>1k', 23.20874914013977)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802199_1	(1.0, 6.726709190548917)	(2.0, 2.5413260264127215)	(3.0, 1.4705552061809362)	(4.0, 1.1050220106010242)	(5.0, 0.7664405713772348)	(6.0, 0.7243284520707932)	(7.0, 0.597430599227383)	(8.0, 0.4716557362321444)	(9.0, 0.43965052555924894)	('>10', 6.88055879974845)	('>50', 3.1595319378312823)	('>100', 18.570321624292514)	('>500', 10.824499146527716)	('>1k', 31.49705776659779)	('>5k', 14.224912406791843)	('>10k+', 0.0)
SRR32802199_2	(1.0, 15.05367891474261)	(2.0, 3.5172042044739915)	(3.0, 2.0163282723924176)	(4.0, 1.20384511724014)	(5.0, 0.9208516755008535)	(6.0, 0.7310663911598239)	(7.0, 0.656387566256401)	(8.0, 0.5210672895517025)	(9.0, 0.4851316144102057)	('>10', 5.8867127841164315)	('>50', 7.12087862725721)	('>100', 29.55653130895697)	('>500', 20.282319647830384)	('>1k', 12.04799658611086)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802200_1	(1.0, 6.989003048930685)	(2.0, 2.444618391018518)	(3.0, 1.4976435104851467)	(4.0, 1.068494200463087)	(5.0, 0.8374980157318255)	(6.0, 0.6634298006973677)	(7.0, 0.6245655136928189)	(8.0, 0.5079726526791726)	(9.0, 0.4483077613623301)	('>10', 7.303201650911122)	('>50', 3.4195098720762833)	('>100', 16.67004220333138)	('>500', 12.954397411966918)	('>1k', 34.48904410275498)	('>5k', 3.7703832237652377)	('>10k+', 6.311888640133125)
SRR32802200_2	(1.0, 15.212357748498798)	(2.0, 3.4320997115284615)	(3.0, 2.0576176739450536)	(4.0, 1.2962060792503025)	(5.0, 0.94971180215341)	(6.0, 0.8013706503473152)	(7.0, 0.6820408677136305)	(8.0, 0.44228653379824506)	(9.0, 0.4778665148587474)	('>10', 6.173947790483176)	('>50', 5.679112361580189)	('>100', 29.391801277595015)	('>500', 20.586029657282676)	('>1k', 12.817551330964982)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802201_1	(1.0, 7.676550203279647)	(2.0, 2.809335186714186)	(3.0, 1.7715115853722263)	(4.0, 1.0953062781534473)	(5.0, 0.8099831732527879)	(6.0, 0.614542072093728)	(7.0, 0.7389136819222206)	(8.0, 0.45986141449190543)	(9.0, 0.3856565044261661)	('>10', 7.233411022041994)	('>50', 4.991586626393954)	('>100', 21.754580324202298)	('>500', 12.57407426761844)	('>1k', 31.24549283556819)	('>5k', 5.839194824468808)	('>10k+', 0.0)
SRR32802201_2	(1.0, 14.432332437997095)	(2.0, 3.6788913159352434)	(3.0, 2.2261473019721785)	(4.0, 1.346139776967214)	(5.0, 0.9249485268757642)	(6.0, 0.6960629592082023)	(7.0, 0.6072260950449933)	(8.0, 0.49330588100040756)	(9.0, 0.44209404165926364)	('>10', 8.295272833686939)	('>50', 8.279595740011079)	('>100', 33.262612221862234)	('>500', 19.344488456433357)	('>1k', 5.970882411346035)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802202_1	(1.0, 7.32861244801406)	(2.0, 2.834574864862103)	(3.0, 1.5756721130560067)	(4.0, 1.034098688983579)	(5.0, 0.8123601361086417)	(6.0, 0.6437570889917538)	(7.0, 0.46493567538293323)	(8.0, 0.5640538303546795)	(9.0, 0.41384384292327026)	('>10', 6.241378253272432)	('>50', 4.49812492974873)	('>100', 20.31104707601443)	('>500', 11.867610843730521)	('>1k', 35.863400876735845)	('>5k', 5.546529331821015)	('>10k+', 0.0)
SRR32802202_2	(1.0, 12.32845917251668)	(2.0, 3.2371785046442474)	(3.0, 1.9312712669752614)	(4.0, 1.1812431664674086)	(5.0, 0.8072509528626753)	(6.0, 0.6805432083627111)	(7.0, 0.5221585277377558)	(8.0, 0.3760358869031197)	(9.0, 0.4046473130805309)	('>10', 6.992428190429479)	('>50', 6.245465599869205)	('>100', 27.854245220359076)	('>500', 11.241224977775053)	('>1k', 26.1978480120168)	('>5k', 0.0)	('>10k+', 0.0)
