.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR32802208_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802209_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802209_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802210_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802210_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802211_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802211_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802212_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802212_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802213_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802213_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802214_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802214_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802215_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802215_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802216_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802216_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802217_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802217_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802218_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802218_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR32802219_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802219_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802220_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802220_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802221_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802221_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802222_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802222_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802223_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802223_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802224_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802224_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802225_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802225_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802226_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802226_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802227_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802227_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802228_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802228_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802229_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802229_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802230_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802230_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
