Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR32802204_2	85.15322606964524	53.0	301.0	301	36.36363636363637	0.15320499999999998
SRR32802205_1	91.3037997024785	55.0	301.0	301	27.27272727272727	0.11898299999999999
SRR32802205_2	84.32128959599271	54.0	301.0	301	27.27272727272727	0.11898299999999999
SRR32802206_1	90.06965241662496	53.0	301.0	301	36.36363636363637	0.11787099999999999
SRR32802206_2	83.43528094272553	52.0	301.0	301	36.36363636363637	0.11787099999999999
SRR32802207_1	89.88350518599628	53.0	301.0	301	27.27272727272727	0.13150799999999999
SRR32802207_2	80.57836785594793	53.0	301.0	301	27.27272727272727	0.13150799999999999
SRR32802208_1	90.47254496482637	53.0	301.0	301	27.27272727272727	0.214223
SRR32802208_2	86.09766458316801	53.0	301.0	301	27.27272727272727	0.214223
SRR32802209_1	91.47733616166127	54.0	301.0	301	36.36363636363637	0.214968
SRR32802209_2	88.09869375907112	53.0	301.0	301	36.36363636363637	0.214968
SRR32802210_1	90.85933004778225	54.0	301.0	301	36.36363636363637	0.199865
SRR32802210_2	84.1102744352438	54.0	301.0	301	27.27272727272727	0.199865
SRR32802211_1	90.89782514406097	53.0	301.0	301	36.36363636363637	0.16139
SRR32802211_2	84.9959724890018	54.0	301.0	301	36.36363636363637	0.16139
SRR32802212_1	88.83055669407142	53.0	301.0	301	36.36363636363637	0.165908
SRR32802212_2	83.37331533138848	53.0	301.0	301	27.27272727272727	0.165908
SRR32802213_1	90.39439079129909	53.0	300.4553009486162	301	36.36363636363637	0.186693
SRR32802213_2	80.94625936698216	53.0	300.8731661069242	301	36.36363636363637	0.186693
SRR32802214_1	90.12904822751022	53.0	300.4173763538691	301	27.27272727272727	0.149479
SRR32802214_2	82.82635018965874	53.0	300.8833481626182	301	27.27272727272727	0.149479
SRR32802215_1	90.19525651080401	53.0	300.4989047245585	301	36.36363636363637	0.14790799999999998
SRR32802215_2	81.74743759634367	53.0	300.8592942910458	301	27.27272727272727	0.14790799999999998
SRR32802216_1	90.81321521447757	53.0	300.34088663900593	301	27.27272727272727	0.187269
SRR32802216_2	82.52834158349754	53.0	300.8423471049667	301	27.27272727272727	0.187269
SRR32802217_1	89.76403891825635	53.0	300.558810235195	301	27.27272727272727	0.13053
SRR32802217_2	81.35524400520953	53.0	300.87524323910213	301	27.27272727272727	0.13053
SRR32802218_1	90.95776600889076	54.0	300.5315837309702	301	36.36363636363637	0.17163899999999999
SRR32802218_2	83.04406341216158	53.0	300.78000337918536	301	27.27272727272727	0.17163899999999999
SRR32802219_1	90.16145668447014	54.0	301.0	301	36.36363636363637	0.097921
SRR32802219_2	81.21853330746214	53.0	301.0	301	36.36363636363637	0.097921
SRR32802220_1	91.50016319545523	53.0	301.0	301	27.27272727272727	0.22672199999999998
SRR32802220_2	85.05041416360123	53.0	301.0	301	36.36363636363637	0.22672199999999998
SRR32802221_1	90.76357146759419	55.0	301.0	301	36.36363636363637	0.109826
SRR32802221_2	82.86926592974342	55.0	301.0	301	36.36363636363637	0.109826
SRR32802222_1	90.16435035097116	54.0	301.0	301	27.27272727272727	0.141892
SRR32802222_2	83.71437431285767	53.0	301.0	301	27.27272727272727	0.141892
SRR32802223_1	89.545823955989	53.0	301.0	301	36.36363636363637	0.127968
SRR32802223_2	83.81392223055764	53.0	301.0	301	27.27272727272727	0.127968
SRR32802224_1	90.42696222982974	52.0	301.0	301	27.27272727272727	0.17701799999999998
SRR32802224_2	85.17438904518184	52.0	301.0	301	36.36363636363637	0.17701799999999998
SRR32802225_1	91.38945164521498	54.0	301.0	301	27.27272727272727	0.13277899999999998
SRR32802225_2	84.3597255590116	53.0	301.0	301	36.36363636363637	0.13277899999999998
SRR32802226_1	90.05419971215971	53.0	301.0	301	27.27272727272727	0.16328499999999999
SRR32802226_2	84.0254769268457	53.0	301.0	301	27.27272727272727	0.16328499999999999
SRR32802227_1	90.15323817266824	54.0	301.0	301	27.27272727272727	0.09716899999999999
SRR32802227_2	82.90915827064187	53.0	301.0	301	27.27272727272727	0.09716899999999999
SRR32802228_1	89.1685032103048	54.0	301.0	301	27.27272727272727	0.125689
SRR32802228_2	85.92319136917311	53.0	301.0	301	36.36363636363637	0.125689
SRR32802229_1	91.05008619592508	53.0	301.0	301	36.36363636363637	0.172862
SRR32802229_2	85.74411958672235	52.0	301.0	301	27.27272727272727	0.172862
SRR32802230_1	90.92691871019447	53.0	301.0	301	36.36363636363637	0.164707
